Symbol|Security Name|Market Category|Reg SHO Threshold Flag|Rule 3210|Filler
ABLE|ABLE ENERGY INC|u|Y|N|
ACTC|ADVANCED CELL TECHNOLOGY, INC.|U|Y|N|
ADRU|BLDRS EUROPE 100 ARR|G|Y|N|
ADSO|ADSERO CORP|u|Y|N|
AFML|Aerofoam Metals Inc. Common St|u|Y|N|
AGIX|ATHEROGENICS INC|G|Y|N|
AGSI|AEGIS ASSESSMENTS INC|U|Y|N|
AGTA|ARGENTA SYSTEMS, INC.|U|Y|N|
AITP|AMERICAN ITALIAN PASTA CL-A|u|Y|N|
AKSY|AKSYS LTD|u|Y|N|
AMGZO|AMG Capital Trust 1 5.1% Tr Pf|u|N|Y|
AMRX|AmerElite Solutions, Inc. New|u|N|Y|
AMTCW|AMERITRANS CAPITAL CORPORATION|S|Y|N|
AQPTY|AQUARIUS PLATINUM LTD SPNS ADR|u|N|Y|
AQUA|AQUACELL TECH INC|u|Y|N|
ASGLY|ASAHI GLASS ADR|u|N|Y|
ASVI|A S V INC|Q|Y|N|
AUAYF|Adanac Molybdenum Corporation|u|N|Y|
AXTG|Axis Technologies Group, Inc.|u|N|Y|
AZTN|AMAZING TECHNOLOGIES CORPORATI|u|N|Y|
BDCO|BLUE DOLPHIN ENERGY CORP|S|Y|N|
BIDU|BAIDU.COM, INC. SPON ADR RPTNG|G|Y|N|
BNVI|BIONOVO, INC|U|Y|N|
BRRAY|BARLOWORLD LTD ADR|u|N|Y|
BRRSF|BEAR RIDGE RES LTD|u|N|Y|
CAIGY|ELETROBRAS CENTRAIS ADR (PRF)|u|N|Y|
CBLI|CLEVELAND BIOLABS INC COM STK|S|Y|N|
CGWVF|CONSOLDATED GD WIN VENT INC-F|u|N|Y|
CIMK|CIMNET INC|U|Y|N|
CINT|CRYSTAL INTL TRAVEL GROUP COM|U|Y|N|
CLRC|Clear Choice Financial, Inc. C|U|Y|N|
CLRI|CLEARANT, INC.|U|Y|N|
CNLG|CONOLOG CORPORATION NEW|S|Y|N|
CONX|CORGENIX MEDICAL CORP-NEW|U|Y|N|
CORS|CORUS BANKSHARES INC|Q|Y|N|
CPST|CAPSTONE TURBINE CORP|G|Y|N|
CRWP|CROWN PARTNERS INC|U|Y|N|
CSEBF|Canadian Sub-Surface Energy Co|u|N|Y|
CTEL|CITY TELECOM (H.K.) LTD ADS|G|Y|N|
CTPMF|CONTINENTAL PRECIOUS MINERALS|u|N|Y|
CTXNY|CONTAX PARTICIPACOES SA SPONSO|u|N|Y|
CUBA|HERZFELD CARIBBEAN BASIN FUND|S|Y|N|
CVCP|Cavico Corporation Common Stoc|u|Y|N|
CVGFY|CORPORACION GEO SA DE CV SPONS|u|N|Y|
CWIR|CENTRAL WIRELESS INC|u|Y|N|
CXTI|CHINA EXPERT TECHNOLOGY INC|U|Y|N|
CXXUF|CROSSHAIR EXPLORATION & MINING|u|N|Y|
